Date;Open;High;Close;Data_Menos_365_dias;Data_Menos_365_dias_disponível;Open_Menos_365_dias_disponível;High_Menos_365_dias_disponível;Atingiu a Barreira?;Valorização
2013-09-12;37,139999;37,240002;36,950001;2012-09-12;;;;0;
2013-09-13;36,990002;36,990002;36,5;2012-09-13;;;;0;
2013-09-16;36,700001;36,93;36,389999;2012-09-16;;;;0;
2013-09-17;36,27;36,540001;36,490002;2012-09-17;;;;0;
2013-09-18;36,389999;36,68;36,529999;2012-09-18;;;;0;
2013-09-19;36,830002;36,830002;36,380001;2012-09-19;;;;0;
2013-09-20;36,200001;36,360001;35,77;2012-09-20;;;;0;
2013-09-23;36,200001;36,360001;36,009998;2012-09-23;;;;0;
2013-09-24;36,200001;36,360001;35,450001;2012-09-24;;;;0;
2013-09-25;35,450001;35,91;35,75;2012-09-25;;;;0;
2013-09-26;35,810001;36,110001;36,0;2012-09-26;;;;0;
2013-09-27;35,779999;35,900002;35,16;2012-09-27;;;;0;
2013-09-30;35,779999;35,900002;34,459999;2012-09-30;;;;0;
2013-10-01;34,75;34,75;34,5;2012-10-01;;;;0;
2013-10-02;34,25;34,759998;34,509998;2012-10-02;;;;0;
2013-10-03;34,509998;34,849998;34,040001;2012-10-03;;;;0;
2013-10-04;34,130001;34,400002;34,389999;2012-10-04;;;;0;
2013-10-07;34,09;34,459999;34,09;2012-10-07;;;;0;
2013-10-08;34,099998;34,099998;33,610001;2012-10-08;;;;0;
2013-10-09;33,869999;33,869999;33,200001;2012-10-09;;;;0;
2013-10-10;33,439999;33,599998;33,450001;2012-10-10;;;;0;
2013-10-11;33,5;33,91;33,77;2012-10-11;;;;0;
2013-10-14;33,490002;35,380001;35,34;2012-10-14;;;;0;
2013-10-15;35,32;36,279999;35,630001;2012-10-15;;;;0;
2013-10-16;35,509998;35,790001;35,439999;2012-10-16;;;;0;
2013-10-17;35,099998;36,23;36,23;2012-10-17;;;;0;
2013-10-18;35,189999;35,52;34,939999;2012-10-18;;;;0;
2013-10-21;34,970001;35,490002;35,380001;2012-10-21;;;;0;
2013-10-22;35,34;36,25;35,889999;2012-10-22;;;;0;
2013-10-23;35,599998;35,599998;35,049999;2012-10-23;;;;0;
2013-10-24;35,049999;35,369999;35,049999;2012-10-24;;;;0;
2013-10-25;34,880001;35,09;35,07;2012-10-25;;;;0;
2013-10-28;35,099998;35,490002;35,310001;2012-10-28;;;;0;
2013-10-29;35,599998;35,599998;35,139999;2012-10-29;;;;0;
2013-10-30;35,34;35,509998;35,02;2012-10-30;;;;0;
2013-10-31;35,139999;35,84;35,75;2012-10-31;;;;0;
2013-11-01;35,82;36,939999;36,900002;2012-11-01;;;;0;
2013-11-04;36,790001;38,029999;37,900002;2012-11-04;;;;0;
2013-11-05;38,049999;38,459999;37,830002;2012-11-05;;;;0;
2013-11-06;38,200001;38,59;38,470001;2012-11-06;;;;0;
2013-11-07;38,619999;38,93;37,23;2012-11-07;;;;0;
2013-11-08;36,900002;37,23;36,75;2012-11-08;;;;0;
2013-11-11;36,75;37,279999;36,950001;2012-11-11;;;;0;
2013-11-12;37,0;37,099998;35,790001;2012-11-12;;;;0;
2013-11-13;35,299999;35,799999;35,529999;2012-11-13;;;;0;
2013-11-14;35,869999;36,220001;35,880001;2012-11-14;;;;0;
2013-11-18;36,150002;36,630001;36,25;2012-11-18;;;;0;
2013-11-19;36,060001;36,23;35,599998;2012-11-19;;;;0;
2013-11-21;35,029999;35,560001;35,02;2012-11-21;;;;0;
2013-11-22;34,73;35,490002;35,330002;2012-11-22;;;;0;
2013-11-25;35,48;35,509998;34,650002;2012-11-25;;;;0;
2013-11-26;34,5;34,689999;33,540001;2012-11-26;;;;0;
2013-11-27;33,900002;34,68;34,240002;2012-11-27;;;;0;
2013-11-28;35,540001;35,549999;35,200001;2012-11-28;;;;0;
2013-11-29;35,349998;35,869999;35,869999;2012-11-29;;;;0;
2013-12-02;35,310001;35,68;35,41;2012-12-02;;;;0;
2013-12-03;35,049999;35,610001;35,080002;2012-12-03;;;;0;
2013-12-04;35,380001;35,560001;35,450001;2012-12-04;;;;0;
2013-12-05;35,380001;36,049999;35,630001;2012-12-05;;;;0;
2013-12-06;36,0;36,07;35,560001;2012-12-06;;;;0;
2013-12-09;35,529999;35,950001;35,540001;2012-12-09;;;;0;
2013-12-10;35,790001;36,200001;35,419998;2012-12-10;;;;0;
2013-12-11;35,43;35,48;34,700001;2012-12-11;;;;0;
2013-12-12;34,669998;35,0;34,549999;2012-12-12;;;;0;
2013-12-13;35,0;35,0;34,16;2012-12-13;;;;0;
2013-12-16;34,330002;34,68;34,389999;2012-12-16;;;;0;
2013-12-17;34,169998;34,810001;34,27;2012-12-17;;;;0;
2013-12-18;34,57;34,720001;34,369999;2012-12-18;;;;0;
2013-12-19;34,799999;35,110001;35,110001;2012-12-19;;;;0;
2013-12-20;34,75;35,080002;34,450001;2012-12-20;;;;0;
2013-12-23;34,419998;34,720001;34,560001;2012-12-23;;;;0;
2013-12-26;34,830002;34,900002;34,709999;2012-12-26;;;;0;
2013-12-27;34,889999;35,68;35,5;2012-12-27;;;;0;
2013-12-30;35,880001;36,110001;35,709999;2012-12-30;;;;0;
2014-01-02;35,91;36,049999;34,810001;2013-01-02;;;;0;
2014-01-03;34,810001;34,810001;34,060001;2013-01-03;;;;0;
2014-01-06;33,630001;34,209999;34,09;2013-01-06;;;;0;
2014-01-07;34,009998;34,349998;33,25;2013-01-07;;;;0;
2014-01-08;33,490002;33,639999;33,48;2013-01-08;;;;0;
2014-01-09;33,48;33,48;32,290001;2013-01-09;;;;0;
2014-01-10;32,259998;32,860001;32,25;2013-01-10;;;;0;
2014-01-13;32,060001;32,450001;32,040001;2013-01-13;;;;0;
2014-01-14;31,959999;32,259998;32,02;2013-01-14;;;;0;
2014-01-15;32,099998;32,68;32,450001;2013-01-15;;;;0;
2014-01-16;32,98;33,360001;32,830002;2013-01-16;;;;0;
2014-01-17;32,810001;32,959999;32,490002;2013-01-17;;;;0;
2014-01-20;32,16;32,439999;31,790001;2013-01-20;;;;0;
2014-01-21;31,07;31,120001;31,08;2013-01-21;;;;0;
2014-01-22;31,33;32,009998;31,809999;2013-01-22;;;;0;
2014-01-23;31,299999;31,799999;30,93;2013-01-23;;;;0;
2014-01-24;30,809999;31,4;31,25;2013-01-24;;;;0;
2014-01-27;31,34;31,74;31,120001;2013-01-27;;;;0;
2014-01-28;31,780001;32,060001;31,75;2013-01-28;;;;0;
2014-01-29;31,75;33,57;33,099998;2013-01-29;;;;0;
2014-01-30;33,119999;33,380001;32,5;2013-01-30;;;;0;
2014-01-31;32,18;33,16;33,049999;2013-01-31;;;;0;
2014-02-03;32,970001;33,0;32,130001;2013-02-03;;;;0;
2014-02-04;32,52;32,950001;32,669998;2013-02-04;;;;0;
2014-02-05;32,75;33,689999;33,5;2013-02-05;;;;0;
2014-02-06;34,0;34,779999;34,259998;2013-02-06;;;;0;
2014-02-07;34,279999;34,630001;34,049999;2013-02-07;;;;0;
2014-02-10;33,93;34,43;33,639999;2013-02-10;;;;0;
2014-02-11;34,0;34,630001;34,490002;2013-02-11;;;;0;
2014-02-12;34,650002;34,869999;34,459999;2013-02-12;;;;0;
2014-02-13;34,25;34,450001;34,32;2013-02-13;;;;0;
2014-02-14;34,5;35,200001;34,84;2013-02-14;;;;0;
2014-02-17;34,950001;35,09;34,490002;2013-02-17;;;;0;
2014-02-18;34,650002;35,189999;34,57;2013-02-18;;;;0;
2014-02-19;34,549999;35,09;34,919998;2013-02-19;;;;0;
2014-02-20;34,73;34,91;34,52;2013-02-20;;;;0;
2014-02-21;34,57;34,880001;34,610001;2013-02-21;;;;0;
2014-02-24;34,57;34,57;33,669998;2013-02-24;;;;0;
2014-02-25;33,200001;33,240002;32,509998;2013-02-25;;;;0;
2014-02-26;32,57;32,959999;32,52;2013-02-26;;;;0;
2014-02-27;33,099998;33,549999;33,009998;2013-02-27;;;;0;
2014-02-28;33,139999;33,200001;33,0;2013-02-28;;;;0;
2014-03-05;32,349998;32,740002;31,85;2013-03-05;;;;0;
2014-03-06;32,110001;32,18;31,75;2013-03-06;;;;0;
2014-03-07;31,5;31,68;30,549999;2013-03-07;;;;0;
2014-03-10;30,01;30,190001;30,040001;2013-03-10;;;;0;
2014-03-11;30,299999;30,49;29,549999;2013-03-11;;;;0;
2014-03-12;29,5;30,32;30,110001;2013-03-12;;;;0;
2014-03-13;30,25;30,559999;29,299999;2013-03-13;;;;0;
2014-03-14;29,34;29,66;29,26;2013-03-14;;;;0;
2014-03-17;29,27;30,049999;29,309999;2013-03-17;;;;0;
2014-03-18;29,530001;29,98;29,809999;2013-03-18;;;;0;
2014-03-19;29,799999;30,209999;29,610001;2013-03-19;;;;0;
2014-03-20;29,49;30,129999;29,879999;2013-03-20;;;;0;
